id	sentiment	review
"10565_9"	1	"In 1933 Dick Powell and Ruby Keeler sang and danced their way through three Warner Brother musicals that offered Depression era audiences a momentary distraction from their woes. Gold Diggers of 1933, 42nd Street and Footlight Parade were all set in the world of Broadway Theatre with basically the same theme of the show must go on. In addition to Keeler and Powell the films featured the kaleidiscopic choreography of Busby Berkeley, show stopping tunes and many of the same supporting players.<br /><br />All are arguably classics of their genre but I must admit a clear preference for Footlight due to it's pace energy and lead James Cagney. Warren William in Gold Diggers and Warner Baxter in 42nd Street acquit themselves admirably as the shows production heads- particularly Baxter as the burned out Julian Marsh in search of one last box office smash. Both lack the infectious energy of Cagney however, who perfectly compliments the frenetic pace of putting on a Broadway musical. He is an absolute whirlwind as he deals with production numbers, unscrupulous partners and a gold digging girlfriend.<br /><br />Of course Cagney alone does not make Footlight the classic that it is. The script crackles with some sharp double entendres delivered by a superlative supporting cast featuring Frank McHugh, Hugh Herbert, Guy Kibbee and especially Joan Blondell who cuts everyone down to size. Busby Berkeley's dance numbers are surreal, suggestive and risqué and done just in the nick of time before the arrival of the Hollywood Code in 34. Sadly, the thirties and sometime beyond would never see such a richly made musical with the verve and sass of Footlight again. Gentility and morality made sure of it."
"9292_10"	1	"If you like film, don't miss this one. If you prefer action, or horror, or romance, then you'll wonder what's happening. Everyone here is stuck in a gangster film. And what happens is transcendental murder.<br /><br />There are few similar films. No doubt it will see limited release, and be hard to find. But the search will be worth it. If you want to study a mileu as a potential symbol, then this is indeed a film to study.<br /><br />You can't watch it once. If you do you'll never see what's happening. Dark City is better. Joe Vrs. The Volcano is more fun. But Mad Dog Time could convert the gangsta crowd to symbolism. . .or at least to think twice before shooting again."
"9866_1"	0	"You want to see the movie \"THE Gamers\" by Dead Gentlemen Productions. This is not that movie. This movie is not funny. It is a waste of time.<br /><br />All of the good comments here seem to be written by (poorly disguised) false third parties. The people who made this movie seem to be attempting to synthesize fake interest.<br /><br />This movie is not a well done mockumentary. Comparisons to \"Spinal Tap\" or Christopher Guest are insulting.<br /><br />The movie is so mean-spirited that I cannot imagine anyone familiar with the subject matter finding it funny. Being able to laugh at yourself is an important quality, but if you are the ones being lampooned in this manner, you'd have to hate yourself to enjoy it.<br /><br />The movie is not offensive because of its grand satire of taboo topics but because of its constant pathetic banality."
"8345_7"	1	"I recently saw I.Q. and even though I'm not a romantic comedy type of gal, I think that it was just a nice and sweet movie to watch. So many movies in my opinion lack honesty. You know that feeling when you're watching a movie and you just feel robbed because it's taking something from the story and it was like the director just threw it together like it was trash? The story between the scientists is a sweet and funny one. How they stuck together and they tried to help Tim Robbins character become smart. I liked the love story between Tim and Meg because it was simple and brought up a good point when it comes to love, \"nothing is what it seems\". I would recommend this for a Sunday morning.<br /><br />7/10"
"3131_2"	0	"The Fallen Ones starts with archaeologist Matt Fletcher (Casper Van Dien) in the desert discovering the mummified remains of a 42 foot tall giant, now there's something you don't see everyday. Matt is working for property developer Morton (Robert Wagner) who wants to build a holiday resort on the land & he calls in fellow archaeologist Angela (Kristen Miller) for reasons I'm unsure of. Anyway they both try to figure out what they've got on they're hands when some of the team go missing, Morton calls in security guy Ammon (Navid Negahban) to handle the situation. Meanwhile ancient text translator the Rabbi Eli Schmidtt (Tom Bosley) translates some ancient text (as he would) & is shocked to learn of a evil prophecy in which these giants will rise up & take over the world for the Fallen One, or something like that. It's up to Matt to save the day & the whole planet...<br /><br />Written & directed by Kevin VanHook, who also has a small role in the film as the ancient warrior leader at the start, I personally thought The Fallen Ones was a terrible film & it's as simple & straight forward as that. There are so many things that are just plain bad about The Fallen Ones both on a technical & conceptual level, the script doesn't make a whole lot of sense & it doesn't really get going until the final 20 odd minutes by which time I had almost lost the will to live. The character's are awful & as clichéd as you like, the dialogue is bad as in very, very bad & the entire film is predictable, I mean it's not going to come as a surprise that Casper Van Dien is going to save the day is it? It's not a huge surprise that the mummified giant is going to come back to life either so why wait until over an hour into the film when most of the audience will be in some sort of comatose state. This is bad, very bad. You have been warned.<br /><br />Director VanHook doesn't impress, the fight scenes are absolutely awful & why dress your bad guys up in a horrible shade of purple? They look naff. To give it a bit of credit the special effects on the giant Mummy itself are actually good although there's not that many of them since he doesn't make an appearance for over an hour, there are also some normal sized Mummy's that look to have come straight from the set of The Mummy (1999), unfortunately these aren't used to any great effect & in fact are wasted as some comic relief. The mechanical Mummy was a pretty good idea but looked silly & there is no way on Earth that all those people inside could work in sync with each other to operate it, actually the more I think about the more ridiculous the idea is. Forget about any scares, tension or atmosphere & don't even think about any gore or violence because there isn't any.<br /><br />Technically The Fallen Ones isn't anything special & apart from the impressive giant Mummy effects there's little her to get excited about. The ghost CGI & water effects are terrible, it was made-for-TV & it's shows. The acting was poor, Wagner looks embarrassed & this is probably the only thing the likes of Dien & Bosley can get these days.<br /><br />The Fallen Ones is a bad film, there's no two ways about it as far as I'm concerned. Not recommended on any level or in any way, one to avoid."
"8881_1"	0	"The character acting is a little stiff, as if it is the first time man of the actors have appeared on screen. Unfortunately one of the better actresses, Jean Simmons (played many bit roles on TV, like in Star Trek TNG and In the Heat of the Night), dies quickly and thereafter her acting can be markedly missed.<br /><br />The lead role is Mr Ballard, as portrayed by Cliff Robertson. Cliff is forced to carry this movie with his body language for most of the time. He doesn't do a poor job, but it is a little overmuch to ask of an actor to plug the oceans of blank screen time during which the characters spend their time NOT talking and also NOT acting. Robertson's most memorable role may have been Ben Parker in the last 3 Spider Man movies (starring Tobey Maguire).<br /><br />The plot is predictable. A husband murders his rich wife for her money. thereafter the wife seems to comeback and haunt the husband driving him insane until he leaps from a high window (fearing the specter of his dead wife approaching him) on the day he is predicted to die no less.<br /><br />The second chauffeur Mr Ballard hires looks a lot like an English mark Hamill. Uncanny really! The only thing that stands out is the utter disregard for dialogue. Many minutes pass in quietness, no one speaks, and few act. It is a shame the MST3K guys never got hold of this movie. It could have been much better, if not just as predictable, with more dialogue, or shorter scenes of 'nothingness'.<br /><br />I kept expecting G'Mork's red eyes to appear from the shadows and proclaim that he works for the \"nothing\" that inhabits this film."
"9372_9"	1	"Red Rock West is one of those rare films that keeps you guessing the entire time as to what will happen next. Nicolas Cage is mistaken for a contract killer as he enters a small town trying to find work. Dennis Hopper is the bad guy and no one plays them better. Look for a brief appearance by country singing star Dwight Yoakam. This is a serious drama most of the time but there are some lighter moments. What matters is that you will enjoy this low budget but high quality effort!"
"10628_7"	1	"despite the occasionally stilted acting and \"seen-it-all-before\" story, this is a fairly compelling movie.<br /><br />It has suspense, the scenes with the demon are actually pretty creepy, some of the visual effects are superb and best of all, no ridiculously ill placed humour to detract from the film, as too many (wannabe) horror films have in them now<br /><br />honestly, this isn't the greatest film ever made, but it actually draws you in and at least makes an attempt at character development<br /><br />i was glad i watched it"
"12352_1"	0	"<br /><br />How this film ever got a 6 star average is beyond me. The script is so banal, and frankly an insult to whomevers life it is based upon. The cinematography comes straight from the slick world of advertising, and the talented Ridley Scott should be ashamed. Demi Moore however, shows none a surprise by participating in this film, if one looks at her tracklist. All in all, a \"high concept\" style film that even Don Simpson would be ashamed of."
"7289_10"	1	"This was one of the first CREEPY movies I ever saw...I was about 5 at the time. It scared me GOOD! But that night I put chewing gum in one eye to be like the monster...and my mom got very upset. She had to clean my eye with alcohol and the next day my eye smelled like DOUBLE MINT! NOW THAT'S A MOVIE! Hey for it's time it was a great movie. That Head sitting on the lab counter top was as real as it got back then. And IF your 5 it is VERY SCARY! Kids now a days are spoiled by special effects that show too much and leave NOTHING for your minds imagination. Your mind can imagine things more scarier than special effects! (IMO)"
