id	sentiment	review
"1481_10"	1	"I now that these days, some people wan't see a movie without movie styling, so much Dogma, Lars Von, Watchosky Brothers, are changed what we expect in a movie, perhaps, Casomai is no-one-more-Independent-non-american movie, the movie take all movies resources and language to tell us a simple history about love and marriage, but much more .. Fully of views, lectures and let you thinking ... and I'm sure, you can't fell boried any second of a long 116 minutes. I calculate that don't have a single scene longer that 3 o 2 1/2 minutes."
"10626_1"	0	"this documentary is founded on sponge cake as soon as you put any REAL evidence on it the integrity slowly sinks into a big pile of crap for example Bart Sibrel claims they must have had multiple lighting sources because the shadows appear to be crossing if this were the case wouldn't there be two or more shadows for each object when Apollo 11 went through the van Allan radiation belts they spent 30 Min's there not the 90 Min's claimed in the documentary and they received a dose of radiation more equivalent to that of an an x ray.<br /><br />seriously do some research learn what really happened don't let this pile of crap of a documentary mold your opinion of what really happened"
"5985_3"	0	"This film is just a kids against evil genre. Thunderbirds is just the hook to get people to see it, but are almost incidental in use. The fact that the action takes place on Tracy Island is just a ploy to pull in the public. It was interesting to note what the film makers view of future London will be and how the World all fits together.<br /><br />The best part of this film are some of the lines delivered by Lady Penelope which are highly comical. These provided some light relief for those expecting a rerun of the TV series.<br /><br />Having said that it passes 90 or so minutes in a 'fun' way and so may just be worth watching."
"7576_10"	1	"The third, and final installment of \"Hanzo the Razor\" is the most concrete of them all. The \"training\" even gets completed within the first five minutes of the film. Not for everyone, this film details Hanzo's investigation of loan sharking being performed by an order of blind monks. It also makes a historical comment on the prideful refusal of old Japan to incorporate Western technology. Where the first Hanzo film was just a funny and gory ride with little connection to it's plot, \"Hanzo 3: Who's Got the Gold\" manages to connect everything, and brings it all home in the end. Definitely the perfect finale. Oh yeah, Hanzo still has a lot of sex, and there's a lot of needless blood and violence (it *is* Hanzo the Razor after all)."
"6875_10"	1	"When I was chairman of our college's coffeehouse, one of our jobs was to review groups and films for student activities. One of the best things to come along in 1972 was Groove Tube. The original premise was that it was being shown off-off Broadway in theaters where television monitors were being placed throughout the audience, so everyone had a great seat. The premise was that the skits would change on a regular basis-ala Saturday Night Live, keeping the thing fresh. They decided on making it into a film for general distribution.<br /><br />I believe the developers said it was the first time Chevy Chase was on film. Watching him run naked though the woods was a howl. Like many of the reviews before mine, it WAS Saturday Night Live before such a thing existed. I highly recommend this vid. I've told my 13 year old son about Koko the clown- He can't wait to get a copy!"
"7936_7"	1	"most of the bad reviews on this website blame \"Hood of the Living Dead\" for one (or more) of the following reasons: 1) it is a low-budget movie with virtually no acting; 2) it was so bad it made me laugh 3) it is something I could do myself. I won't even discuss the first point because it is a very subjective matter whether you like low-budget and independent stuff or not. I must say, however, that I still fail to understand people renting such a movie as \"Hood of the Living Dead\" and then looking surprised when they realize it is not as polished and cute as a romantic comedy with Lindsay Lohan or Matthew Mc Conaughey. As for the second point, I really don't see what's so wrong with laughing. I personally like to laugh, and love movies that make me to, be they comedies or horror flicks. When in \"Hammerhead\" I saw this girl stepping into a PUDDLE and the shark-man came out of it to eat her, I just cracked up. And I was grateful that the director made such a stupid scene and gave me ten seconds of pure fun. Honestly, laughing just makes me feel good, while it seems that many people writing reviews see it as a bad bad thing. If you only want to feel sad and scared while watching a movie, \"Hood of the Living Dead\" and low-budget flicks are definitely not for you. But please don't come and tell us that you find them laughable. We already know it. This is most probably why we decided to watch the movie in first place. However, it is the third point that leaves totally baffled. Just several years ago people were lining up out of theaters to see \"Blair Witch Project\", which is a way more rudimentary, boring, plot-less and bad-acted movie than \"Hood of the Living Dead\" (and takes itself way too seriously too). Moreover, half a million people go on YouTube every day to see the short films of \"Lonelygirl15\", which is certainly something everyone with a cute girlfriend, a room and a webcam could do! Not to talk about all of the even more amateurish videos you can find there. Why don't people blame those clips for bad acting and non-existing plot? I think it is one of the best things of our times that everyone, with affordable technology and a bunch of friends, can make their own movies and share them with people that have similar interests. And I feel a certain admiration for people who spend their weekends with their friends making a honestly bad (yet refreshing) piece of trash like this rather than shopping at the mall or playing video games alone. Leave aside your biases and your desire to sound like a smart film critic by attacking b-movies, and you'll see that \"Hood of the Living Dead\" can bring you almost as much fun as it did to its makers! If you have a taste for refreshing and enjoyable home-made horror movies, I recommend \"Zombiez\", \"The Ghosts of Edendale\", \"The Killer Eye\", \"Monster Man\", \"Don't Look in the Basement\", \"The Worst Horror Movie Ever Made\", \"Redneck Zombies\", \"Jesus Christ Vampyre-Slayer\" and \"Habit\"."
"10216_8"	1	"The mystery here is why this delightful, small comedy has been ignored by most critics and has failed to find the audience it deserves. Simply showcasing the budding talent of Audrey Tautou should be enough to generate greater recognition from the cognoscenti. <br /><br />Lacking in pretension and relying on quirky characterizations, itÕs rumination on the interconnection of human behavior manages to be both amusing and life affirming and, unlike some of itsÕ more critically acclaimed competition in the genre, such as The Taste of Others, it actually entertains."
"2867_1"	0	"I was lying on my bed, with a really bad cold or flu or whatever. I figure maybe I'd kill some time watching some horror movies my mom bought for me a little while ago. I wish I never picked this movie! After I watched it I felt even more sick and I wanted to throw up. Afterwords(when I got better of course) I did some research on Dennis L.Rader and I noticed that the Dennis in the movie was nothing like the real one. I hope that no one ever watches this movie but if they ever do don't eat or you'll feel the way I felt after I first watched it. I think you would have a better time watching The Santa Claus 3. At least that movie had better reviews on this site."
"9612_8"	1	"The Good Thing about this movie: The concept is interesting and there are some funny scenes. It also makes you think of those little things in life that could greatly affect the life of someone else without you ever knowing. Its a small world and this little movie shows us.<br /><br />The Bad Thing:There are too many characters and its hard to tell who the main character is but its still a great movie.<br /><br />Its a great movie and many people compare it to Magnolia which I haven't seen.<br /><br />8/10<br /><br />Not Rated---I would rate it PG-13 for brief violence,some language and sexual situations."
"11171_3"	0	"Very much a film from the times -- extremely long sequences with no dialogue, bad flashbacks, and an almost entirely male cast. The two women who appear have a total of under 10 lines and exist only as romantic interests for men.<br /><br />O'Toole is riveting whenever he speaks; unfortunately, he spends much of his time peering through shrubbery. Alastair Sims is always a joy to see but he, too, is terribly underused.<br /><br />The film has one additional positive aspect, in that it depicts many aspects of British fascism and fascist sympathies (such as the casual appearance of the Mosley graffiti) that many people today are unaware of. Too many of today's films about WWII paint the Allies as all-good and the Axis as all-evil, when history tells us people are far more complicated than that!<br /><br />This would be a good movie for when you're recovering from the flu and are bundled on the couch and not able to absorb anything too complex. If you just need something to pass the time while your electrolytes stabilize, this is the movie for you."
"11406_1"	0	"But I got over it. To me, it seemed that even the Author of the book favored Caroline. I felt so sorry for the character Louise, and she was constantly compared with Esau who was evil, I just felt the comparison was a bit harsh and un-realistic. Really though, the movie was bad. I wouldn't really see it unless you're ready for a big let down."
"4784_10"	1	"It's nice to see a film with real people with honest feelings. Sissy Spacek is so absolutely convincing as a simple, yet nice, daughter to Robert Farnsworth,<br /><br />who finally, in his last role, gets to show what a fine actor he was. It is hard to believe that this is a David Lynch film. It is slow and even, sweet and moving. One of the best unless you like car chases, sex scenes, and violence."
"10085_10"	1	"I just saw this movie today with my children (son, 10 and daughter, 4.5) at the 3rd Annual Roger Ebert Overlooked Film Festival. After the film the children in the audience were allowed to ask questions to the Director, Tian-Ming Wu. He (through a translator) told several stories about his life and the making of the film.<br /><br />All tangents aside, both of my children really enjoyed this movie. Of course, I had to paraphrase many of the subtitles for my daughter, but much of the film is visually self-explanatory.<br /><br />I won't give anything away, but the bottom line is that this film is SO MUCH better than 95% of the Hollywood crap (especially children's films) out there.<br /><br />Cheers.<br /><br />p.s. There is a \"real\"/original King of Masks who can/could do 12 masks at once. The actor in the movie trained and learned to do up to 4 masks at a time (then they would cut and change to 4 new masks)."
"9450_1"	0	"Spend your time any other way, even housework is better than this movie. The jokes aren't funny, the fun rhymes that are Dr. Seus aren't there. A very lousy way to waste an evening. My kids 4-16 laughed a little at the beginning the younger ones got bored with it and left to play Barbies and the older ones left to play ps2 and surf the net. My wife left and did dishes. So I finished it alone. It was the worst \"kids\" movie I have seen. If you want to watch a fun kids movie watch Shrek 2, that movie is fun for kids and their parents. AVOID THIS MOVIE. It isn't funny, isn't cute, the cat's makeup is about the only good thing in it and you can see that on the disc label."
"4445_4"	0	"Serum is about a crazy doctor that finds a serum that is supposed to cure all diseases through the power of the mind. Instead it creates some kind of monster that needs to eat human flesh and brains. The mad doc creates some zombies out of cadavers and has some problems. There is a very long lead into all the action with many scenes getting you acquainted with the characters. The mad doctor's nephew gets into a car accident and the mad doc tries to use his new serum on the boy. The results are not good. This is a class C film with OK acting but some troubles directing and some continuity errors. There isn't much zombie action in this one and the effects, while adequate, are nothing special. You can fast forward through the slow parts and get some enjoyment out of the action scenes. Watch out for some nudity and bad language."
"10093_1"	0	"I cant believe blockbuster carries this movie. It was SO BAD. I was totally fooled by the box art. DON'T BE FOOLED!! Its not worth your time I promise you. I don't know if the positive reviews for this flick were a joke or what. I am so disappointed. :( <br /><br />The description on the back of the box doesn't even match! The girl that has the voodoo done on her is a stripper. The synopsis on the back says she is only 17. Did the people writing the description for the film even bother to watch it!? Those positive reviews had to be a joke they just had to be. If anyone actually liked this flick then I've lost all faith in humanity.<br /><br />And don't even get me started on the story compared to the title. Or the fact that the entire movie was done all in 2 locations. Or that the cops didn't even have close to real uniforms. Why would i even say that?? Who cares about the cops uniforms!? Compared to the rest of the movie the uniforms were spot on. <br /><br />This movie is an insult to the zombie genre and all of its fans."
